expediente|cod_plan|des_plan|anio_apertura_expediente|abandona|convocatoria_acceso|des_acceso|nota_admision_def|sexo|lugar_origen|anio_nacimiento_interval
1|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|7.16|H|MISMO_MUNICIPIO|(1990.0, 1995.0]
2|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|6.836|D|OTRA_COMUNIDAD|(1990.0, 1995.0]
3|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|1|JUN|Formación Profesional|6.836|H|OTRA_COMUNIDAD|(1980.0, 1985.0]
4|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Formación Profesional|6.836|D|OTRO_MUNICIPIO|(1985.0, 1990.0]
5|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|1|JUN|Selectividad|6.73|D|OTRO_MUNICIPIO|(1990.0, 1995.0]
6|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|6.836|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
7|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|1|JUN|Formación Profesional|8.1|H|OTRO_MUNICIPIO|(1985.0, 1990.0]
8|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|7.17|D|OTRO_MUNICIPIO|(1990.0, 1995.0]
9|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|6.836|D|MISMO_MUNICIPIO|(1985.0, 1990.0]
10|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|6.836|D|OTRO_MUNICIPIO|(1990.0, 1995.0]
11|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|6.836|H|OTRO_MUNICIPIO|(1985.0, 1990.0]
12|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|7.64|D|OTRO_MUNICIPIO|(1990.0, 1995.0]
13|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|6.95|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
15|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|6.836|D|MISMO_MUNICIPIO|(1990.0, 1995.0]
16|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Formación Profesional|6.836|H|OTRO_MUNICIPIO|(1980.0, 1985.0]
17|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|7.65|H|MISMO_MUNICIPIO|(1990.0, 1995.0]
18|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|6.836|H|MISMO_MUNICIPIO|(1990.0, 1995.0]
19|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|1|JUN|Selectividad|6.836|H|MISMO_MUNICIPIO|(1990.0, 1995.0]
21|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|1|JUN|Formación Profesional|6.836|H|OTRA_COMUNIDAD|(1980.0, 1985.0]
23|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|6.836|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
24|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Formación Profesional|6.836|H|OTRA_COMUNIDAD|(1985.0, 1990.0]
26|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|1|JUN|Formación Profesional|6.44|H|OTRA_COMUNIDAD|(1985.0, 1990.0]
27|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Formación Profesional|6.836|H|OTRA_COMUNIDAD|(1985.0, 1990.0]
28|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|7.22|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
29|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|6.836|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
30|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|1|JUN|Selectividad|6.836|D|OTRO_MUNICIPIO|(1990.0, 1995.0]
31|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Formación Profesional|6.836|H|MISMO_MUNICIPIO|(1985.0, 1990.0]
33|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|1|JUN|Selectividad|6.836|H|MISMO_MUNICIPIO|(1990.0, 1995.0]
34|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|1|JUN|Formación Profesional|6.836|H|OTRO_MUNICIPIO|(1985.0, 1990.0]
35|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|6.836|D|OTRO_MUNICIPIO|(1990.0, 1995.0]
36|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|1|JUN|Selectividad|8.23|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
37|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|7.67|H|MISMO_MUNICIPIO|(1990.0, 1995.0]
38|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|6.836|D|OTRA_COMUNIDAD|(1990.0, 1995.0]
39|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|7.23|D|OTRO_MUNICIPIO|(1990.0, 1995.0]
40|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Formación Profesional|6.63|D|OTRO_MUNICIPIO|(1985.0, 1990.0]
41|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|7.02|D|MISMO_MUNICIPIO|(1990.0, 1995.0]
43|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|6.836|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
44|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|6.836|H|MISMO_MUNICIPIO|(1990.0, 1995.0]
45|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|6.836|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
